Document No,Total Qty,Shipped Qty,In Transit Qty,Status,Month
TO/26/0000319,10345,10345,10345,In Transit,April 2025
TO/26/0000411,1197,1197,1197,In Transit,April 2025
TO/26/0000416,5694,5694,5694,In Transit,April 2025
TO/26/0000429,1021,1021,1021,In Transit,April 2025
TO/26/0000430,224,224,224,In Transit,April 2025
TO/26/0000457,704,704,704,In Transit,April 2025
TO/26/0000597,75000,75000,75000,In Transit,April 2025
TO/26/0000657,334,334,334,In Transit,April 2025
TO/26/0000663,1100,1100,1100,In Transit,April 2025
TO/26/0000734,240,240,240,In Transit,April 2025
TO/26/0001267,62800,62800,62800,In Transit,May 2025
TO/26/0001318,58,58,58,In Transit,May 2025
TO/26/0001341,53,53,53,In Transit,May 2025
TO/26/0001493,50,50,50,In Transit,May 2025
TO/26/0001494,181850,180275,0,Completed,May 2025
TO/26/0001556,0,0,0,Completed,May 2025
TO/26/0001640,4,4,4,In Transit,May 2025
TO/26/0001670,260,0,0,Completed,May 2025
TO/26/0001791,200,200,200,In Transit,May 2025
TO/26/0002140,16,16,16,In Transit,June 2025
TO/26/0002155,70,70,70,In Transit,June 2025
TO/26/0002156,3,3,3,In Transit,June 2025
TO/26/0002356,5300,5300,5300,In Transit,June 2025
TO/26/0002357,900,900,900,In Transit,June 2025
TO/26/0002412,40,40,40,In Transit,June 2025
TO/26/0002431,2,2,2,In Transit,June 2025
TO/26/0002484,500,500,500,In Transit,June 2025
TO/26/0002487,1499,1499,1499,In Transit,June 2025
TO/26/0002725,8,8,8,In Transit,July 2025
TO/26/0002912,0,0,0,Completed,July 2025
TO/26/0003068,120000,120000,120000,In Transit,July 2025
TO/26/0003132,1,1,1,In Transit,July 2025
TO/26/0003136,12,12,12,In Transit,July 2025
TO/26/0003138,1100,1000,0,Completed,July 2025
TO/26/0003194,59020,46020,0,Completed,July 2025
TO/26/0003250,103940,71440,0,Completed,August 2025
TO/26/0003365,450300,450300,160,In Transit,August 2025
TO/26/0003507,1189,1189,1189,In Transit,August 2025
TO/26/0003547,98345,97345,77,Partially Shipped,August 2025
TO/26/0003562,800,800,800,In Transit,August 2025
TO/26/0003579,6,6,6,In Transit,August 2025
TO/26/0003606,50,50,50,In Transit,August 2025
TO/26/0003639,3,3,3,In Transit,August 2025
TO/26/0003644,2,2,2,In Transit,August 2025
TO/26/0003654,12,12,12,In Transit,August 2025
TO/26/0003727,1,1,1,In Transit,August 2025
TO/26/0003740,25,25,25,In Transit,August 2025
TO/26/0003773,8700,0,0,Completed,September 2025
TO/26/0003776,9700,9700,9700,In Transit,September 2025
TO/26/0004195,7,7,7,In Transit,September 2025
TO/26/0004231,200,200,200,In Transit,September 2025
TO/26/0004246,3,3,3,In Transit,September 2025
TO/26/0004250,74,0,0,Completed,September 2025
TO/26/0004329,5525,5525,5525,In Transit,October 2025
TO/26/0004338,1200,0,0,Completed,October 2025
TO/26/0004351,100,0,0,Completed,October 2025
TO/26/0004744,500,0,0,Completed,October 2025
TO/26/0004747,90,90,90,In Transit,October 2025
TO/26/0004750,118,118,100,In Transit,October 2025
TO/26/0004877,6,6,6,In Transit,October 2025
TO/26/0004978,0,0,0,Completed,October 2025
TO/26/0005207,20,0,0,Completed,November 2025
TO/26/0005399,5586,5586,5586,In Transit,November 2025
TO/26/0005602,136397,136397,136397,In Transit,November 2025
TO/26/0005607,300,300,300,In Transit,November 2025
TO/26/0005691,28352,27812,27812,Partially Shipped,November 2025
TO/26/0005693,32003,32003,32003,In Transit,November 2025
TO/26/0005715,3963,0,0,Completed,November 2025
TO/26/0005732,5232,0,0,Completed,November 2025
TO/26/0005734,1493,0,0,Completed,November 2025
